Vehicle.Trip.TripId,Vehicle.Trip.RouteId,Vehicle.Timestamp,Vehicle.Vehicle.Id,Vehicle.Position.Latitude,Vehicle.Position.Longitude,Vehicle.Position.Bearing,Vehicle.Position.Speed,Vehicle.occupancy_status
1091990,2439_259,1621382497,11954_174248961_2439_259_1,-33.777046,151.11879,217.0,8.3,1
1091195,2439_259,1621382893,11954_173547899_2439_259_1,-33.79256,151.15941,282.0,14.0,1
1091731,2439_259,1621382893,11954_173547853_2439_259_1,-33.79256,151.15941,282.0,14.0,1
1091990,2439_259,1621382906,11954_174248961_2439_259_1,-33.779602,151.13391,130.0,0.7,1
1091195,2439_259,1621382886,11954_173547899_2439_259_1,-33.79267,151.16037,276.0,15.0,1
1091731,2439_259,1621382886,11954_173547853_2439_259_1,-33.79267,151.16037,276.0,15.0,1
1091990,2439_259,1621382882,11954_174248961_2439_259_1,-33.779102,151.13326,126.0,0.0,1
1091195,2439_259,1621382910,11954_173547899_2439_259_1,-33.792515,151.1579,258.0,0.1,1
1091731,2439_259,1621382910,11954_173547853_2439_259_1,-33.792515,151.1579,258.0,0.1,1
1091990,2439_259,1621382922,11954_174248961_2439_259_1,-33.779602,151.13391,130.0,0.0,1
1091195,2439_259,1621382879,11954_173547899_2439_259_1,-33.79264,151.16148,263.0,14.8,1
1091731,2439_259,1621382879,11954_173547853_2439_259_1,-33.79264,151.16148,263.0,14.8,1
1091990,2439_259,1621382867,11954_174248961_2439_259_1,-33.778763,151.13283,131.0,11.4,1
1091195,2439_259,1621382612,11954_173547899_2439_259_1,-33.797306,151.17923,250.0,9.1,1
1091195,2439_259,1621382623,11954_173547899_2439_259_1,-33.797493,151.1786,250.0,1.2,1
1091731,2439_259,1621382623,11954_173547853_2439_259_1,-33.797493,151.1786,250.0,1.2,1
1091990,2439_259,1621382628,11954_174248961_2439_259_1,-33.77904,151.12032,128.0,9.0,1
1091195,2439_259,1621382564,11954_173547899_2439_259_1,-33.796993,151.1803,237.0,6.6,1
1091195,2439_259,1621382594,11954_173547899_2439_259_1,-33.79711,151.17998,246.0,0.0,1
1091195,2439_259,1621382564,11954_173547899_2439_259_1,-33.796993,151.1803,237.0,6.6,1
1091195,2439_259,1621382724,11954_173547899_2439_259_1,-33.79566,151.17686,278.0,12.6,1
1091731,2439_259,1621382724,11954_173547853_2439_259_1,-33.79566,151.17686,278.0,12.6,1
1091990,2439_259,1621382721,11954_174248961_2439_259_1,-33.778893,151.12526,38.0,9.6,1
1091195,2439_259,1621382691,11954_173547899_2439_259_1,-33.796673,151.17793,350.0,0.0,1
1091731,2439_259,1621382691,11954_173547853_2439_259_1,-33.796673,151.17793,350.0,0.0,1
1091990,2439_259,1621382685,11954_174248961_2439_259_1,-33.779938,151.12425,37.0,9.7,1
1091195,2439_259,1621382707,11954_173547899_2439_259_1,-33.796288,151.1779,2.0,3.6,1
1091731,2439_259,1621382707,11954_173547853_2439_259_1,-33.796288,151.1779,2.0,3.6,1
1091990,2439_259,1621382714,11954_174248961_2439_259_1,-33.779324,151.12483,43.0,6.7,1
1091195,2439_259,1621382732,11954_173547899_2439_259_1,-33.795612,151.17569,271.0,13.6,1
1091731,2439_259,1621382732,11954_173547853_2439_259_1,-33.795612,151.17569,271.0,13.6,1
1091990,2439_259,1621382738,11954_174248961_2439_259_1,-33.778522,151.12556,41.0,0.0,1
1091195,2439_259,1621382530,11954_173547899_2439_259_1,-33.796417,151.18044,165.0,0.0,1
1091990,2439_259,1621382547,11954_174248961_2439_259_1,-33.777424,151.11844,220.0,0.0,1
1091195,2439_259,1621382530,11954_173547899_2439_259_1,-33.796417,151.18044,165.0,0.0,1
1091990,2439_259,1621382532,11954_174248961_2439_259_1,-33.777424,151.11844,220.0,0.0,1
1091195,2439_259,1621382530,11954_173547899_2439_259_1,-33.796417,151.18044,165.0,0.0,1
1091990,2439_259,1621382532,11954_174248961_2439_259_1,-33.777424,151.11844,220.0,0.0,1
1091990,2439_259,1621382517,11954_174248961_2439_259_1,-33.777424,151.11844,220.0,0.0,1
1091195,2439_259,1621382775,11954_173547899_2439_259_1,-33.796803,151.16946,247.0,12.2,1
1091731,2439_259,1621382775,11954_173547853_2439_259_1,-33.796803,151.16946,247.0,12.2,1
1091990,2439_259,1621382775,11954_174248961_2439_259_1,-33.77597,151.12823,41.0,9.4,1
1091195,2439_259,1621382790,11954_173547899_2439_259_1,-33.79688,151.16908,264.0,0.0,1
1091731,2439_259,1621382790,11954_173547853_2439_259_1,-33.79688,151.16908,264.0,0.0,1
1091990,2439_259,1621382790,11954_174248961_2439_259_1,-33.77587,151.12881,126.0,0.0,1
1091195,2439_259,1621382766,11954_173547899_2439_259_1,-33.79632,151.17073,246.0,13.6,1
1091731,2439_259,1621382766,11954_173547853_2439_259_1,-33.79632,151.17073,246.0,13.6,1
1091990,2439_259,1621382756,11954_174248961_2439_259_1,-33.777603,151.12656,41.0,13.1,1
1091195,2439_259,1621382807,11954_173547899_2439_259_1,-33.796864,151.16885,268.0,0.1,1
1091731,2439_259,1621382807,11954_173547853_2439_259_1,-33.796864,151.16885,268.0,0.1,1
1091990,2439_259,1621382805,11954_174248961_2439_259_1,-33.77587,151.12881,126.0,0.0,1
1091195,2439_259,1621382753,11954_173547899_2439_259_1,-33.796246,151.17259,274.0,14.5,1
1091731,2439_259,1621382753,11954_173547853_2439_259_1,-33.796246,151.17259,274.0,14.5,1
1091990,2439_259,1621382756,11954_174248961_2439_259_1,-33.777603,151.12656,41.0,13.1,1
1091195,2439_259,1621383080,11954_173547899_2439_259_1,-33.7954,151.14256,288.0,10.0,1
1091731,2439_259,1621383080,11954_173547853_2439_259_1,-33.7954,151.14256,288.0,10.0,1
1091990,2439_259,1621383076,11954_174248961_2439_259_1,-33.783176,151.13062,227.0,9.2,1
1091195,2439_259,1621383093,11954_173547899_2439_259_1,-33.79508,151.14113,283.0,3.6,1
1091731,2439_259,1621383093,11954_173547853_2439_259_1,-33.79508,151.14113,283.0,3.6,1
1091990,2439_259,1621383092,11954_174248961_2439_259_1,-33.784065,151.12968,219.0,11.4,1
1091195,2439_259,1621383049,11954_173547899_2439_259_1,-33.795647,151.14363,282.0,14.4,1
1091731,2439_259,1621383049,11954_173547853_2439_259_1,-33.795647,151.14363,282.0,14.4,1
1091990,2439_259,1621383058,11954_174248961_2439_259_1,-33.781937,151.132,221.0,9.0,1
1091195,2439_259,1621383093,11954_173547899_2439_259_1,-33.79508,151.14113,283.0,3.6,1
1091731,2439_259,1621383093,11954_173547853_2439_259_1,-33.79508,151.14113,283.0,3.6,1
1091990,2439_259,1621383106,11954_174248961_2439_259_1,-33.785393,151.12837,221.0,13.7,1
1091195,2439_259,1621382836,11954_173547899_2439_259_1,-33.795216,151.16689,342.0,13.4,1
1091731,2439_259,1621382836,11954_173547853_2439_259_1,-33.795216,151.16689,342.0,13.4,1
1091990,2439_259,1621382831,11954_174248961_2439_259_1,-33.776318,151.12941,128.0,9.2,1
1091195,2439_259,1621382849,11954_173547899_2439_259_1,-33.793896,151.1658,309.0,14.0,1
1091731,2439_259,1621382849,11954_173547853_2439_259_1,-33.793896,151.1658,309.0,14.0,1
1091990,2439_259,1621382855,11954_174248961_2439_259_1,-33.778076,151.13187,130.0,12.7,1
1091195,2439_259,1621382849,11954_173547899_2439_259_1,-33.793896,151.1658,309.0,14.0,1
1091731,2439_259,1621382849,11954_173547853_2439_259_1,-33.793896,151.1658,309.0,14.0,1
1091990,2439_259,1621382845,11954_174248961_2439_259_1,-33.777325,151.13083,131.0,12.7,1
1091195,2439_259,1621382819,11954_173547899_2439_259_1,-33.796825,151.1678,299.0,10.5,1
1091731,2439_259,1621382819,11954_173547853_2439_259_1,-33.796825,151.1678,299.0,10.5,1
1091990,2439_259,1621382822,11954_174248961_2439_259_1,-33.77594,151.1289,139.0,3.1,1
1091195,2439_259,1621383043,11954_173547899_2439_259_1,-33.795876,151.14465,289.0,17.6,1
1091731,2439_259,1621383043,11954_173547853_2439_259_1,-33.795876,151.14465,289.0,17.6,1
1091990,2439_259,1621383043,11954_174248961_2439_259_1,-33.781616,151.13237,221.0,0.0,1
1091195,2439_259,1621383015,11954_173547899_2439_259_1,-33.795666,151.1493,256.0,17.1,1
